"ID";"DESCRIPTION";"REACTION";"GPR";"REVERSIBLE";"LOWER.BOUND";"UPPER.BOUND";"OBJECTIVE"
"SO4HCOtex";"sulfate transport via bicarbonate countertransport";"2 hco3[c] + so4[e] => 2 hco3[e] + so4[c] ";"( 115111 ) or ( 115019 ) or ( 1836 ) or ( 116369 ) or ( 284129 ) or ( 10861 ) or ( 1811 )";0;0;4,861;0
"SPH1Ptr";"sph1p intracellular transport";"sph1p[c] <=> sph1p[r] ";"";1;-23,512;23,512;0
"SPHS1Ptr";"sphingosine-1-phosphate transport";"sphs1p[c] <=> sphs1p[r] ";"";1;-23,512;23,512;0
"ST3GAL23g";"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase, Golgi apparatus";"gd1b_hs[g] + cmpacna[g] => h[g] + cmp[g] + gt1b_hs[g] ";"( 6483 )";0;0;1,683;0
"ST6GALNAC22";"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2";"cmpacna[g] + acngalgbside_hs[g] => h[g] + acn23acngalgbside_hs[g] + cmp[g] ";"( 10610 )";0;0;0,748;0
"ST8SIA52g";"Beta-galactoside alpha-2,3-sialyltransferase";"cmpacna[g] + gt1b_hs[g] => h[g] + cmp[g] + gq1b_hs[g] ";"( 29906 )";0;0;0,561;0
"STS1";"Steryl-sulfatase";"h2o[c] + dheas[c] => h[c] + dhea[c] + so4[c] ";"( 412 )";0;0;23,512;0
"STS1r";"Steryl-sulfatase";"h2o[r] + dheas[r] => h[r] + dhea[r] + so4[r] ";"( 412 )";0;0;23,512;0
"TRPt4";"L-tryptophan transport in via sodium symport";"na1[e] + trp_L[e] => na1[c] + trp_L[c] ";"( 11254 ) or ( 340024 and 57393 ) or ( 59272 )";0;0;1,122;0
"TTDCPT1";"carnitine O-palmitoyltransferase";"crn[c] + tdcoa[c] => coa[c] + ttdcrn[c] ";"( 1375 ) or ( 1374 ) or ( 126129 )";0;0;26,486;0
"UAG2EMAi";"UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis)";"h2o[c] + uacgam[c] => h[c] + udp[c] + acmana[c] ";"( 10020 )";0;0;3,428;0
"UDPXYLter";"UDP-Xyl endoplasmic reticular transport via CMP antiport";"ump[r] + udpxyl[c] <=> ump[c] + udpxyl[r] ";"";1;-23,512;23,512;0
"UDPXYLtg";"UDP-Xyl Golgi transport via CMP antiport";"ump[g] + udpxyl[c] <=> ump[c] + udpxyl[g] ";"( 84912 )";1;-15,206;15,206;0
"URIt";"uridine facilated transport in cytosol";"uri[e] <=> uri[c] ";"( 3177 ) or ( 2030 )";1;-2,555;2,555;0
"URIt4";"uridine transport in via sodium symport";"na1[e] + uri[e] => na1[c] + uri[c] ";"( 9154 ) or ( 64078 ) or ( 9153 )";0;0;23,512;0
"UTPtn";"UTP diffusion in nucleus";"utp[c] <=> utp[n] ";"";1;-23,512;23,512;0
"VLCSr";"Very-long-chain-fatty-acid-CoA ligase";"atp[r] + coa[r] + thcholstoic[r] => cholcoar[r] + amp[r] + ppi[r] ";"( 11001 )";0;0;23,512;0
"r0355";"Glycolysis / Glyconeogenesis EC:2.7.1.1";"datp[c] + glc_D[c] => h[c] + dadp[c] + g6p[c] ";"( 2645 ) or ( 3098 ) or ( 3099 ) or ( 3101 )";0;0;15,082;0
"r0402";"Tetrahydrobiopterin:NADP+ oxidoreductase Folate biosynthesis EC:1.1.1.153";"h[c] + nadph[c] + HC01254[c] => nadp[c] + thbpt[c] ";"( 6697 )";0;0;4,923;0
"r0504";"Xanthine:oxygen oxidoreductase Purine metabolism EC:1.17.3.2";"h2o[c] + o2[c] + xan[c] => h2o2[c] + urate[c] ";"( 7498 )";0;0;23,512;0
"r0645";"2-Aminomuconate semialdehyde:NAD+ 6-oxidoreductase Tryptophan metabolism EC:1.2.1.32";"h2o[c] + nad[c] + am6sa[c] <=> 2 h[c] + nadh[c] + amuco[c] ";"";1;-23,512;23,512;0
"r0656";"3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(3-methylbutanoyl)transferase Valine, leucine and isoleucine degradation EC:2.3.1.168";"coa[m] + HC01377[m] => ivcoa[m] + dhlam[m] ";"( 1629 )";0;0;12,402;0
"r0671";"(R)-4-Phosphopantothenate:L-cysteine ligase EC:6.3.2.5";"cys_L[c] + ctp[c] + 4ppan[c] => h[c] + ppi[c] + cmp[c] + 4ppcys[c] ";"( 79717 )";0;0;25,302;0
"r0673";"6-Lactoyl-5,6,7,8-tetrahydropterin:NADP+ 2-oxidoreductase Folate biosynthesis EC:1.1.1.220";"h[c] + nadph[c] + 6pthp[c] => nadp[c] + HC01254[c] ";"( 6697 )";0;0;4,923;0
"r0739";"alcohol dehydrogenase Bile acid biosynthesis EC:1.1.1.1";"nad[c] + xol7ah3[c] <=> h[c] + nadh[c] + xol7ah2al[c] ";"( 124 and 125 and 126 ) or ( 130 ) or ( 131 ) or ( 128 ) or ( 127 )";1;-81,329;81,329;0
"r0826";"Transport reaction";"inost[c] => inost[r] ";"";0;0;23,512;0
"r0853";"Facilitated diffusion";"atp[c] + pi[m] => pi[c] + atp[m] ";"";0;0;23,512;0
"r1015";"Na(+)/bile acid cotransporter Active transport";"na1[e] + tchola[e] => na1[c] + tchola[c] ";"( 6554 )";0;0;0,872;0
"r1020";"Postulated transport reaction";"xol7ah3[m] <=> xol7ah3[c] ";"";1;-23,512;23,512;0
"r1043";"Concentrative Nucleoside Transporter (CNT) TCDB:2.A.41.2.3";"na1[e] + dad_2[e] => na1[c] + dad_2[c] ";"( 9154 ) or ( 64078 )";0;0;23,512;0
"r1045";"Concentrative Nucleoside Transporter (CNT) TCDB:2.A.41.2.4";"na1[e] + dgsn[e] => na1[c] + dgsn[c] ";"( 9153 ) or ( 64078 )";0;0;23,512;0
"r1163";"Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter TCDB:2.A.28.1.1";"na1[e] + gchola[e] => na1[c] + gchola[c] ";"( 6554 )";0;0;0,872;0
"r1262";"EC:6.2.1.3";"arachd[r] + atp[r] + coa[r] => amp[r] + ppi[r] + arachdcoa[r] ";"( 2182 ) or ( 2181 ) or ( 81616 ) or ( 11001 ) or ( 2180 ) or ( 23305 ) or ( 51703 )";0;0;186,464;0
"r1298";"Vesicular transport";"lnlncg[l] => lnlncg[r] ";"";0;0;23,512;0
"r1299";"Vesicular transport";"lnlncg[c] => lnlncg[l] ";"";0;0;23,512;0
"r1303";"Vesicular transport";"hdcea[l] => hdcea[r] ";"";0;0;23,512;0
"r1304";"Vesicular transport";"hdcea[c] => hdcea[l] ";"";0;0;23,512;0
"r1499";"Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter TCDB:2.A.28.1.1";"2 na1[e] + HC02192[e] => 2 na1[c] + HC02192[c] ";"( 6554 )";0;0;0,872;0
"r1683";"Y+LAT2 Utilized transport";"na1[e] + gly[e] + val_L[c] => na1[c] + gly[c] + val_L[e] ";"( 9057 )";0;0;5,734;0
"r1691";"Y+LAT2 Utilized transport";"na1[e] + ala_L[e] + trp_L[c] => na1[c] + ala_L[c] + trp_L[e] ";"( 9057 )";0;0;5,734;0
"r1696";"Y+LAT2 Utilized transport";"na1[e] + ala_L[e] + pro_L[c] => na1[c] + ala_L[c] + pro_L[e] ";"( 9057 )";0;0;5,734;0
"r1726";"Y+LAT2 Utilized transport";"na1[e] + ser_L[e] + pro_L[c] => na1[c] + ser_L[c] + pro_L[e] ";"( 9057 )";0;0;5,734;0
"r1744";"Y+LAT2 Utilized transport";"na1[e] + thr_L[c] + met_L[e] => na1[c] + thr_L[e] + met_L[c] ";"( 9057 )";0;0;5,734;0
"r1847";"Y+LAT2 Utilized transport";"na1[e] + asn_L[e] + pro_L[c] => na1[c] + asn_L[c] + pro_L[e] ";"( 9057 )";0;0;5,734;0
"r1855";"Y+LAT2 Utilized transport";"na1[e] + ser_L[c] + val_L[e] => na1[c] + ser_L[e] + val_L[c] ";"( 9057 )";0;0;5,734;0
"r1916";"Y+LAT2 Utilized transport";"na1[e] + gly[e] + citr_L[c] => na1[c] + gly[c] + citr_L[e] ";"( 9057 )";0;0;5,734;0
"r1918";"Y+LAT2 Utilized transport";"na1[e] + ala_L[e] + arg_L[c] => na1[c] + ala_L[c] + arg_L[e] ";"( 9057 )";0;0;5,734;0
"r1928";"Y+LAT2 Utilized transport";"na1[e] + ser_L[e] + arg_L[c] => na1[c] + ser_L[c] + arg_L[e] ";"( 9057 )";0;0;5,734;0
"r1929";"Y+LAT2 Utilized transport";"na1[e] + orn[c] + ser_L[e] => na1[c] + ser_L[c] + orn[e] ";"( 9057 )";0;0;5,734;0
"r1936";"Y+LAT2 Utilized transport";"na1[e] + citr_L[c] + met_L[e] => na1[c] + met_L[c] + citr_L[e] ";"( 9057 )";0;0;5,734;0
"r1938";"Y+LAT2 Utilized transport";"na1[e] + arg_L[c] + trp_L[e] => na1[c] + arg_L[e] + trp_L[c] ";"( 9057 )";0;0;5,734;0
"r1981";"Y+LAT2 Utilized transport";"na1[e] + thr_L[e] + citr_L[c] => na1[c] + thr_L[c] + citr_L[e] ";"( 9057 )";0;0;5,734;0
"r1983";"Y+LAT2 Utilized transport";"na1[e] + arg_L[c] + hom_L[e] => na1[c] + arg_L[e] + hom_L[c] ";"( 9057 )";0;0;5,734;0
"r1999";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"lys_L[e] + tyr_L[c] => lys_L[c] + tyr_L[e] ";"( 11136 )";0;0;0,499;0
"r2003";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"asn_L[c] + lys_L[e] => asn_L[e] + lys_L[c] ";"( 11136 )";0;0;0,499;0
"r2004";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"lys_L[e] + val_L[c] => lys_L[c] + val_L[e] ";"( 11136 )";0;0;0,499;0
"r2006";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"lys_L[e] + hom_L[c] => lys_L[c] + hom_L[e] ";"( 11136 )";0;0;0,499;0
"r2007";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"lys_L[e] + ile_L[c] => lys_L[c] + ile_L[e] ";"( 11136 )";0;0;0,499;0
"r2008";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"gly[c] + arg_L[e] => gly[e] + arg_L[c] ";"( 11136 )";0;0;0,499;0
"r2020";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"arg_L[e] + val_L[c] => arg_L[c] + val_L[e] ";"( 11136 )";0;0;0,499;0
"r2041";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"ala_L[c] + his_L[e] => ala_L[e] + his_L[c] ";"( 11136 )";0;0;0,499;0
"r2052";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"his_L[e] + val_L[c] => val_L[e] + his_L[c] ";"( 11136 )";0;0;0,499;0
"r2065";"Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15";"leu_L[c] + citr_L[e] => citr_L[c] + leu_L[e] ";"( 11136 )";0;0;0,499;0
"r2397";"Mitochondrial Carrier (MC) TCDB:2.A.29.19.1";"h[c] + lys_L[m] + his_L[c] => h[m] + lys_L[c] + his_L[m] ";"( 83884 )";0;0;0,561;0
"r2401";"Mitochondrial Carrier (MC) TCDB:2.A.29.19.1";"h[c] + arg_L[m] + his_L[c] => h[m] + arg_L[c] + his_L[m] ";"( 83884 )";0;0;0,561;0
"r2404";"Mitochondrial Carrier (MC) TCDB:2.A.29.19.1";"h[c] + arg_L[c] + orn[m] => h[m] + orn[c] + arg_L[m] ";"( 83884 )";0;0;0,561;0
"r2405";"Mitochondrial Carrier (MC) TCDB:2.A.29.19.1";"h[c] + orn[m] + his_L[c] => h[m] + orn[c] + his_L[m] ";"( 83884 )";0;0;0,561;0
"r2433";"Mitochondrial Carrier (MC) TCDB:2.A.29.8.3";"acrn[c] + crn[m] => acrn[m] + crn[c] ";"( 788 )";0;0;31,846;0
"r2513";"Utilized transport";"crn[c] + lnlnca[r] => crn[r] + lnlnca[c] ";"";0;0;23,512;0
"r2518";"ATP-binding Cassette (ABC) TCDB:3.A.1.203.1";"h2o[c] + atp[c] + dhcholestanate[c] => adp[c] + h[c] + pi[c] + dhcholestanate[x] ";"( 5825 )";0;0;31,472;0
"RE0512X";"RE0512";"nad[x] + CE2421[x] <=> h[x] + nadh[x] + CE0713[x] ";"( 3295 ) or ( 1962 )";1;-184,781;184,781;0
"RE0565C";"RE0565";"h[c] + malcoa[c] + stcoa[c] => co2[c] + coa[c] + CE2251[c] ";"( 6785 ) or ( 79071 ) or ( 60481 ) or ( 54898 )";0;0;220,865;0
"RE0566C";"RE0566";"h[c] + nadph[c] + CE2251[c] <=> nadp[c] + CE2247[c] ";"";1;-23,512;23,512;0
"RE0567C";"RE0567";"CE2247[c] <=> h2o[c] + CE2243[c] ";"";1;-23,512;23,512;0
"RE0568C";"RE0568";"h[c] + nadph[c] + CE2243[c] <=> nadp[c] + arachcoa[c] ";"( 9045 )";1;-59,267;59,267;0
"RE1099R";"RE1099";"h2o[r] + CE1352[r] <=> h[r] + 17ahprgnlone[r] + so4[r] ";"( 412 )";1;-23,512;23,512;0
"RE1134R";"RE1134";"o2[r] + nadph[r] + 17ahprgnlone[r] => h2o[r] + nadp[r] + dhea[r] + ac[r] ";"( 1586 )";0;0;23,512;0
"RE1448R";"RE1448";"h2o[r] + pail5p_hs[r] <=> pi[r] + pail_hs[r] ";"( 93492 )";1;-23,512;23,512;0
"RE1516X";"RE1516";"fad[x] + lnlccoa[x] <=> fadh2[x] + CE2434[x] ";"( 51 ) or ( 8310 )";1;-46,242;46,242;0
"RE1517X";"RE1517";"fad[x] + CE0849[x] <=> fadh2[x] + CE2433[x] ";"( 51 ) or ( 8310 )";1;-46,242;46,242;0
"RE1523X";"RE1523";"h2o[x] + CE2434[x] <=> CE2421[x] ";"( 1962 )";1;-12,838;12,838;0
"RE1531X";"RE1531";"coa[x] + CE0713[x] <=> accoa[x] + CE0849[x] ";"( 30 )";1;-23,512;23,512;0
"RE1537C";"RE1537";"h2o[c] + o2[c] + N1aspmd[c] => h2o2[c] + ptrc[c] + CE4788[c] ";"";0;0;23,512;0
"RE1538C";"RE1538";"h2o[c] + o2[c] + C03413[c] => h2o2[c] + N1aspmd[c] + CE4788[c] ";"";0;0;23,512;0
"RE1804M";"RE1804";"nad[m] + xol7ah3[m] <=> h[m] + nadh[m] + xol7ah2al[m] ";"( 1593 )";1;-3,303;3,303;0
"RE1807M";"RE1807";"h2o[m] + nadp[m] + xol7ah2al[m] <=> 2 h[m] + nadph[m] + dhcholestanate[m] ";"( 1593 )";1;-3,303;3,303;0
"RE1907C";"RE1907";"CE1617[c] <=> CE5594[c] ";"";1;-23,512;23,512;0
"RE2658C";"RE2658";"retn[c] <=> CE1617[c] ";"";1;-23,512;23,512;0
"RE2989X";"RE2989";"coa[x] + CE2439[x] <=> accoa[x] + CE2440[x] ";"( 30 )";1;-23,512;23,512;0
"RE2990X";"RE2990";"h2o[x] + CE2437[x] <=> CE2438[x] ";"( 1962 )";1;-12,838;12,838;0
"RE2991X";"RE2991";"nad[x] + CE2438[x] <=> h[x] + nadh[x] + CE2439[x] ";"( 3295 ) or ( 1962 )";1;-184,781;184,781;0
"RE2992X";"RE2992";"CE2442[x] <=> CE2433[x] ";"( 10455 ) or ( 1962 )";1;-80,83;80,83;0
"RE2993X";"RE2993";"h[x] + nadph[x] + CE2441[x] <=> nadp[x] + CE2442[x] ";"( 26063 )";1;-0,686;0,686;0
"RE3151R";"RE3151";"h[r] + malcoa[r] + arachdcoa[r] => co2[r] + coa[r] + CE4833[r] ";"( 64834 ) or ( 79071 ) or ( 60481 ) or ( 54898 )";0;0;231,46;0
"RE3268R";"RE3268";"h2o[r] + pail345p_hs[r] <=> pi[r] + pail35p_hs[r] ";"( 93492 )";1;-23,512;23,512;0
"RE3273R";"RE3273";"h2o[r] + pail_hs[r] <=> h[r] + pa_hs[r] + inost[r] ";"( 5337 )";1;-1,807;1,807;0
"RE3339M";"RE3339";"h2o[m] + CE5346[m] <=> h[m] + coa[m] + CE5307[m] ";"( 10965 ) or ( 11332 )";1;-13,212;13,212;0
"RE3346R";"RE3346";"2 h[r] + nadh[r] + thcholstoic[r] <=> h2o[r] + nad[r] + CE4872[r] ";"( 224 ) or ( 218 )";1;-34,339;34,339;0
"RE3383M";"RE3383";"coa[m] + CE5307[m] <=> accoa[m] + CE5316[m] ";"( 10449 ) or ( 3032 ) or ( 3030 )";1;-522,872;522,872;0
"RE3407C";"RE3407";"o2[c] + ascb_L[c] + CE5527[c] => C01041[c] + CE5922[c] ";"";0;0;23,512;0
"RE3415C";"RE3415";"CE5526[c] <=> CE5527[c] ";"";1;-23,512;23,512;0
"HSD17B3r";"testicular 17-beta-hydroxysteroid dehydrogenase";"h[r] + nadph[r] + andrstndn[r] => nadp[r] + tststerone[r] ";"( 3293 )";0;0;2,431;0
"C60CPT1";"production of hexanoylcarnitine";"crn[c] + hxcoa[c] <=> coa[c] + c6crn[c] ";"( 1374 ) or ( 1375 ) or ( 126129 )";1;-26,486;26,486;0
"C6COAt";"esterification of of hexanoylcoa for transport  into cytosol";"crn[x] + hxcoa[x] <=> coa[x] + c6crn[x] ";"( 54677 )";1;-11,903;11,903;0
"C6CRNtcx";"transport of hexanoylcarnitine into cytosol";"c6crn[x] <=> c6crn[c] ";"( 788 )";1;-31,846;31,846;0
"FAOXC163C143m";"fatty acid beta oxidation(C16:3-->C14:3)m";"h2o[m] + coa[m] + nad[m] + fad[m] + hexdtrcoa[m] => h[m] + nadh[m] + accoa[m] + fadh2[m] + 5tedtricoa[m] ";"( 3030 and 3032 and 37 )";0;0;24,367;0
"FAOXC164C143m";"fatty acid beta oxidation(C16:4-->C14:3)m";"h2o[m] + coa[m] + nad[m] + 2hexdtetcoa[m] => h[m] + nadh[m] + accoa[m] + 5tedtricoa[m] ";"( 3030 and 3032 )";0;0;113,05;0
"FAOXC164C165m";"fatty acid beta oxidation(C16:4-->C16:5)m";"fad[m] + 4hexdtetcoa[m] => fadh2[m] + hedepecoa[m] ";"( 37 )";0;0;24,367;0
"FAOXC164m";"isomerization(C16:4)m";"3hexdtetcoa[m] => 2hexdtetcoa[m] ";"( 1632 )";0;0;1,807;0
"FAOXC165C164m";"fatty acid beta oxidation (C16:5-->C16:4)m";"h[m] + nadph[m] + hedepecoa[m] => nadp[m] + 3hexdtetcoa[m] ";"( 1666 )";0;0;122,398;0
"FAOXC185m";"isomerization(C18:5)m";"3octpencoa[m] => 2octpencoa[m] ";"( 1632 )";0;0;1,807;0
"FAOXC205C185m";"fatty acid beta oxidation(C20:5-->C18:5)m";"h2o[m] + coa[m] + nad[m] + fad[m] + 5eipencoa[m] => h[m] + nadh[m] + accoa[m] + fadh2[m] + 3octpencoa[m] ";"( 3030 and 3032 and 37 )";0;0;24,367;0
"FAOXC226C205m";"fatty acid beta oxidation(C22:6-->C20:5)m";"h2o[m] + coa[m] + nad[m] + 2docohexecoa[m] => h[m] + nadh[m] + accoa[m] + 5eipencoa[m] ";"( 3030 and 3032 and 37 )";0;0;24,367;0
"FAOXC22C20x";"fatty acid beta oxidation(C22-->C20)x";"nad[x] + coa[x] + o2[x] + h2o[x] + docoscoa[x] => h[x] + nadh[x] + accoa[x] + h2o2[x] + arachcoa[x] ";"( 1962 and 30 and 3295 and 51 )";0;0;12,838;0
"FAOXC24C22x";"Fatty acid beta oxidation(C24-->C22)x";"nad[x] + coa[x] + o2[x] + h2o[x] + lgnccoa[x] => h[x] + nadh[x] + accoa[x] + h2o2[x] + docoscoa[x] ";"( 1962 and 30 and 3295 and 51 )";0;0;12,838;0
"FAOXC5OHc";"(3-hydroxyisovalerylcoa-->3-hydroxyisovalerylcarnitine)c";"crn[c] + 3ivcoa[c] <=> coa[c] + 3ivcrn[c] ";"( 1374 ) or ( 1375 ) or ( 126129 )";1;-26,486;26,486;0
"HIVCACBP";"transport of 3-hydroxyisovalerylcoa from mitochondria into the cytosol";"3ivcoa[m] <=> 3ivcoa[c] ";"( 1622 )";1;-1000;1000;0
"34DHPHELAT1tc";"transport of 3,4-Dihydroxy-L-phenylalanine by LAT1 in association with 4F2hc, across the apical surface of the memebranes.";"34dhphe[e] + leu_L[c] => 34dhphe[c] + leu_L[e] ";"( 6520 and 8140 )";0;0;0,436;0
"BGLUTCHLe";"binding of betaglucans with taurocholate in the intestinal lumen, reducing serum cholsterol levels.";"tchola[e] + bglc[e] => gltcho[e] ";"";0;0;23,512;0
"TAUPAT1c";"transport of taurine into the intestinal cells by PAT1";"h[e] + taur[e] => h[c] + taur[c] ";"( 206358 )";0;0;1,309;0
"TYRPHELAT2tc";"transport of L-Tyrosine into the cell and efflux of L-Phenylalanine out of the cell by LAT2 on the basolateral surfaces of kidney and intestine.";"tyr_L[e] + phe_L[c] => phe_L[e] + tyr_L[c] ";"( 23428 and 6520 )";0;0;0,686;0
"DCTPtm";"transport of dCTP into mitochondria";"dctp[c] => dctp[m] ";"";0;0;23,512;0
"GLY3Pt";"Glycerol phopshate exit into cytosol";"glyc3p[x] => glyc3p[c] ";"";0;0;23,512;0
